event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
Downtown Art Walk,{'url': 'http://www.downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.

",2013-04-10T12:00:00,2013-04-10T22:00:00,,Downtown LA Art Walk,,Free,"Culture & Community, Arts & Antiques, Free"
Getty Center Family Festival,{'url': 'http://www.getty.edu/education/kids_families/program'},"This family-oriented festival offers a day of celebration and discovery inspired by exhibitions at the Getty Villa. Each unique festival features performances by local dance and music groups, storytelling, art-making workshops, and gallery activities.

http:/www.getty.edu/education/kids_families/programs",2013-04-12T10:00:00,2013-04-12T18:00:00,,The Getty Center,310-440-7300,"Free, Tickets are Required","Family Friendly, Culture & Community, Arts & Antiques, Free, Fairs & Festivals"
Los Angeles Times Festival of Books,{'url': 'http://events.latimes.com/festivalofbooks/'},"Take your love of books to new depths at the country's largest celebration of the written word.  The festival includes over 400 authors blended with hundreds of exhibitors representing booksellers, publishers, literacy and cultural organizations, author readings, book signings, children’s activities, and more. 

This event takes place on April 12 & 13
",2013-04-12T10:00:00,2013-04-12T18:00:00,,The Los Angeles Times,213-237-6160,Free,"Free, Family Friendly, Fairs & Festivals, Culture & Community"
Los Angeles Times Festival of Books,{'url': 'http://events.latimes.com/festivalofbooks/'},"Take your love of books to new depths at the country's largest celebration of the written word.  The festival includes over 400 authors blended with hundreds of exhibitors representing booksellers, publishers, literacy and cultural organizations, author readings, book signings, children’s activities, and more. 

This event takes place on April 12 & 13",2013-04-13T10:00:00,2013-04-13T17:00:00,,The Los Angeles Times,213-237-6160,Free,"Free, Family Friendly, Fairs & Festivals, Culture & Community"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on April 12 & 26

",2014-04-12T15:00:00,2014-04-12T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on April 12 & 26

",2014-04-26T15:00:00,2014-04-26T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Puppet Festival,{'url': 'http://www.skirball.org'},"Inspired by the fanciful animal puppets and kinetic animal sculptures that populate the Noah’s Ark galleries, celebrate the art of puppetry during this festive day of performances, puppet making, and storytelling. This program will bring together some of Los Angeles’s most talented puppeteers and artists working in a wide range of media to entertain, inspire, and amaze.

",2014-04-14T11:00:00,2014-04-14T16:00:00,,Skirball Cultural Center,310-440-4500,"$10 General Admission, $7 Seniors, Students, and Children over 12, $5 Children 2 – 12, Free for members and children under 2","Family Friendly, Fairs & Festivals, Culture & Community"
Earth Day,,"Celebrate our Ocean Planet at the Cabrillo Marine Aquarium with a day of free programs including a beach cleanup, speakers, information and activities.  Participation options include joining the beach clean-up, grunion egg hatching, guided walks to the salt marsh, and more.

",2014-04-19T08:00:00,2014-04-19T15:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,Free,"Free, Family Friendly, Fairs & Festivals, Great Outdoors"
Black Writers on Tour,{'url': 'http://www.blackwritersontour.com'},"The tour gives exposure to authors and motives inspiring new writers among children and adults. The event includes workshops for children and adults, poetry jam competitions, a children’s writing contest, and exhibit booths.

",2014-04-19T09:00:00,2014-04-19T18:00:00,,Black Writers on Tour,323-750-3592,Free,"Free, Family Friendly, Culture & Community"
World City – Khukh Tenger & Huun-Huur Tu,{'url': 'http://www.musiccenter.org'},"World City is the Music Center’s highly acclaimed free performance series reflecting the rich array of cultures making up the Los Angeles community. In addition to performances, free arts workshops for children are offered in the adjacent Blue Ribbon Garden. The event features Mongolian dances and songs and music from Tuva.

There are two shows on April 19, at 11:00 a.m. & 12:30 p.m.

",2014-04-19T11:00:00,2014-04-19T12:00:00,,The Music Center,213-972-4396,Free,"Free, Family Friendly, Culture & Community"
World City – Khukh Tenger & Huun-Huur Tu,{'url': 'http://www.musiccenter.org'},"World City is the Music Center’s highly acclaimed free performance series reflecting the rich array of cultures making up the Los Angeles community. In addition to performances, free arts workshops for children are offered in the adjacent Blue Ribbon Garden. The event features Mongolian dances and songs and music from Tuva.

There are two shows on April 19, at 11:00 a.m. & 12:30 p.m.

",2014-04-19T12:30:00,2014-04-19T13:30:00,,The Music Center,213-972-4396,Free,"Free, Family Friendly, Culture & Community"
Blessing of the Animals,{'url': 'http://www.calleolvera.com'},"This centuries-old tradition of blessing the animals, for the many benefits they provide mankind, is celebrated in the plaza. Brightly adorned animals and their human companions assemble in the historic plaza for a procession. All pets are welcome.

",2014-04-19T12:00:00,2014-04-19T17:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Free, Family Friendly, Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-21T09:00:00,2014-04-21T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-23T09:00:00,2014-04-23T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-24T09:00:00,2014-04-24T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-25T09:00:00,2014-04-25T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-26T09:00:00,2014-04-26T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-27T09:00:00,2014-04-27T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-28T09:00:00,2014-04-28T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
"City of Lights, City of Angels (COLCOA) – A Week of French Film Premieres in Hollywood ",{'url': 'http://www.colcoa.org'},"COLCOA, a week of French film premieres in Hollywood, is one of the biggest events dedicated to French cinema in the world with an exclusive program of 50 films, including world and North American premieres. All films presented with English subtitles. 

This event takes place April 21 - 28 

",2014-04-22T09:00:00,2014-04-22T23:59:00,,Franco American Cultural Fund,,"$10 General Admission, $8 Seniors, $3 Students","Fairs & Festivals, Culture & Community"
Cowboy Festival,{'url': 'http://www.cowboyfestival.org'},"The annual Santa Clarita Cowboy Festival celebrates the culture of cowboy with music, poetry, food, shopping, and fun at Melody Ranch Motion Picture Studio. 

This event takes place April 24 - 27 

",2014-04-24T10:00:00,2014-04-24T18:00:00,,City of Santa Clarita,661-250-3735,"$20 Adults, $10 Children","Family Friendly, Fairs & Festivals, Great Outdoors"
Cowboy Festival,{'url': 'http://www.cowboyfestival.org'},"The annual Santa Clarita Cowboy Festival celebrates the culture of cowboy with music, poetry, food, shopping, and fun at Melody Ranch Motion Picture Studio. 

This event takes place April 24 - 27 

",2014-04-25T10:00:00,2014-04-25T18:00:00,,City of Santa Clarita,661-250-3735,"$20 Adults, $10 Children","Family Friendly, Fairs & Festivals, Great Outdoors"
Cowboy Festival,{'url': 'http://www.cowboyfestival.org'},"The annual Santa Clarita Cowboy Festival celebrates the culture of cowboy with music, poetry, food, shopping, and fun at Melody Ranch Motion Picture Studio. 

This event takes place April 24 - 27 

",2014-04-26T10:00:00,2014-04-26T18:00:00,,City of Santa Clarita,661-250-3735,"$20 Adults, $10 Children","Family Friendly, Fairs & Festivals, Great Outdoors"
Cowboy Festival,{'url': 'http://www.cowboyfestival.org'},"The annual Santa Clarita Cowboy Festival celebrates the culture of cowboy with music, poetry, food, shopping, and fun at Melody Ranch Motion Picture Studio. 

This event takes place April 24 - 27 

",2014-04-27T10:00:00,2014-04-27T18:00:00,,City of Santa Clarita,661-250-3735,"$20 Adults, $10 Children","Family Friendly, Fairs & Festivals, Great Outdoors"
"Bones and Blues
",{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.

",2014-04-25T20:00:00,2014-04-25T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
Azusa Fest 2014,{'url': 'http://www.azusastreetmission.org'},"The festival includes a heritage tour, a gospel music extravaganza, dancers, and dramas at the historic Azusa Street Mission.  The over 100-year old site was home to a world shaking event! The festival will recreate the atmosphere with soul, stirring gospel music, in the heart of Little Tokyo.

This event takes place April 25 - 27 

",2014-04-25T12:00:00,2014-04-25T19:00:00,,Azusa Street Mission & Historical Society,323-692-7268,Free,"Family Friendly, Fairs & Festivals, Free, Culture & Community"
Azusa Fest 2014,{'url': 'http://www.azusastreetmission.org'},"The festival includes a heritage tour, a gospel music extravaganza, dancers, and dramas at the historic Azusa Street Mission.  The over 100-year old site was home to a world shaking event! The festival will recreate the atmosphere with soul, stirring gospel music, in the heart of Little Tokyo.

This event takes place April 25 - 27 

",2014-04-26T12:00:00,2014-04-26T19:00:00,,Azusa Street Mission & Historical Society,323-692-7268,Free,"Family Friendly, Fairs & Festivals, Free, Culture & Community"
Azusa Fest 2014,{'url': 'http://www.azusastreetmission.org'},"The festival includes a heritage tour, a gospel music extravaganza, dancers, and dramas at the historic Azusa Street Mission.  The over 100-year old site was home to a world shaking event! The festival will recreate the atmosphere with soul, stirring gospel music, in the heart of Little Tokyo.

This event takes place April 25 - 27 

",2014-04-27T12:00:00,2014-04-27T19:00:00,,Azusa Street Mission & Historical Society,323-692-7268,Free,"Family Friendly, Fairs & Festivals, Free, Culture & Community"
Olvera Street Anniversary Celebration,{'url': 'http://www.olvera-street.com/Calendar/calendar.html'},"This event celebrates Olvera Street, one of the oldest streets in Los Angeles: a Mexican marketplace opened in the 1930s.The event also includes free refreshments and family entertainment. ",2014-04-26T00:00:00,2014-04-26T00:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Free, Family Friendly, Fairs & Festivals, Culture & Community"
17th Annual Monterey Park Cherry Blossom Festival,{'url': 'http://www.ci.monterey-park.ca.us'},"The Cherry Blossom Festival provides a glimpse into Japanese culture through its program of cultural entertainment, exhibits, traditional Japanese dancing, taiko drumming, martial arts, a kimono fashion show, a tea ceremony, children's crafts, and more.

This event takes place on April 26 & 27 

",2014-04-26T11:00:00,2014-04-26T18:00:00,,Monterey Park Cherry Blossom Festival,626-307-1390,Free,"Family Friendly, Fairs & Festivals, Free, Culture & Community"
25th Annual Fiesta Broadway,{'url': 'http://www.Fiestabroadway.LA'},"The largest Cinco de Mayo celebration in the country will feature both renowned and local Latino entertainment.

",2014-04-27T11:00:00,2014-04-27T18:00:00,,All Access Entertainment,310-914-0015,Free,"Family Friendly, Holiday Celebration, Fairs & Festivals, Free, Culture & Community"
Asian American Heritage Month Celebrations,{'url': 'http://www.laheritagemonth.org'},"Asian American Month is a citywide commemoration of Asian American heritage and history in Los Angeles. The celebration will acknowledge Southern California's Asian American contributions in the areas of education, religion, the arts, culture, and the humanities. Events include music concerts, performances, and several gallery exhibitions.

Events take place throughout the month of May 


",2014-05-01T00:00:00,2014-05-31T00:00:00,,"Los Angeles City Council, Office of the Mayor, Department of Cultural Affairs",,Varies,Culture & Community
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    

",2014-05-01T17:00:00,2014-05-01T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques, Free"
9th Annual South East European Film Festival Los Angeles,{'url': 'http://www.seefilmla.org'},"The festival showcases the cultural diversity of South East Europe and fosters cultural exchange through its annual presentations of films from this region. Throughout the year the program offers individual screenings and promotes films at other festivals, organizes seminars and lectures, and creates opportunities for cultural exchange between Southern California and South East Europe. 

Events take place May 1 - 5 

Times vary, please check website for details 

",2014-05-01T00:00:00,2014-05-01T00:00:00,,Goethe Institute Los Angeles,310-709-5497,$10 General Admission,"Fairs & Festivals, Culture & Community"
9th Annual South East European Film Festival Los Angeles,{'url': 'http://www.seefilmla.org'},"The festival showcases the cultural diversity of South East Europe and fosters cultural exchange through its annual presentations of films from this region. Throughout the year the program offers individual screenings and promotes films at other festivals, organizes seminars and lectures, and creates opportunities for cultural exchange between Southern California and South East Europe. 

Events take place May 1 - 5 

Times vary, please check website for details 

",2014-05-02T00:00:00,2014-05-02T00:00:00,,Goethe Institute Los Angeles,310-709-5497,$10 General Admission,"Fairs & Festivals, Culture & Community"
9th Annual South East European Film Festival Los Angeles,{'url': 'http://www.seefilmla.org'},"The festival showcases the cultural diversity of South East Europe and fosters cultural exchange through its annual presentations of films from this region. Throughout the year the program offers individual screenings and promotes films at other festivals, organizes seminars and lectures, and creates opportunities for cultural exchange between Southern California and South East Europe. 

Events take place May 1 - 5 

Times vary, please check website for details 

",2014-05-03T00:00:00,2014-05-03T00:00:00,,Goethe Institute Los Angeles,310-709-5497,$10 General Admission,"Fairs & Festivals, Culture & Community"
9th Annual South East European Film Festival Los Angeles,{'url': 'http://www.seefilmla.org'},"The festival showcases the cultural diversity of South East Europe and fosters cultural exchange through its annual presentations of films from this region. Throughout the year the program offers individual screenings and promotes films at other festivals, organizes seminars and lectures, and creates opportunities for cultural exchange between Southern California and South East Europe. 

Events take place May 1 - 5 

Times vary, please check website for details 

",2014-05-04T00:00:00,2014-05-04T00:00:00,,Goethe Institute Los Angeles,310-709-5497,$10 General Admission,"Fairs & Festivals, Culture & Community"
9th Annual South East European Film Festival Los Angeles,{'url': 'http://www.seefilmla.org'},"The festival showcases the cultural diversity of South East Europe and fosters cultural exchange through its annual presentations of films from this region. Throughout the year the program offers individual screenings and promotes films at other festivals, organizes seminars and lectures, and creates opportunities for cultural exchange between Southern California and South East Europe. 

Events take place May 1 - 5 

Times vary, please check website for details 

",2014-05-05T00:00:00,2014-05-05T00:00:00,,Goethe Institute Los Angeles,310-709-5497,$10 General Admission,"Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-01T00:00:00,2014-05-01T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-02T00:00:00,2014-05-02T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-03T00:00:00,2014-05-03T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-04T00:00:00,2014-05-04T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-05T00:00:00,2014-05-05T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-06T00:00:00,2014-05-06T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-07T00:00:00,2014-05-07T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-08T00:00:00,2014-05-08T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-09T00:00:00,2014-05-09T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-10T00:00:00,2014-05-10T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
29th Annual Los Angeles Asian Pacific Film Festival,{'url': 'http://www.vconline.org/festiva'},"Established in 1983, the Visual Communications Film Festival is Southern California's premier showcase for film and video works by Asian Pacific American and Asian Pacific international cinema artists. The festival encompasses screenings, panels, workshops, and artists’ awards. 

Events take place May 1 - 11 

Times and locations vary, please check website for details 

",2014-05-11T00:00:00,2014-05-11T00:00:00,,Visual Communications,213-680-4462,"$12 General, $10 Members","Fairs & Festivals, Culture & Community"
Los Angeles Master Chorale High School Choir Festival,{'url': 'http://www.lamc.org'},"The Chorale opens the doors of the Walt Disney Concert Hall to the city free-of-charge for its annual Los Angeles Master Chorale High School Choir Festival. One of the largest high school choir festivals in the nation, it showcases the remarkable vocal talents of more than 900 high school students from 25 Southland schools in a massive choir conducted by Grant Gershon. The community is welcome to enjoy the vitality and power of these young voices raised in song in the splendid setting of Disney Hall. 

",2014-05-02T09:00:00,2014-05-02T14:00:00,,Los Angeles Master Chorale,,Free,"Family Friendly, Culture & Community, Free"
Venice Garden and Home Tour,{'url': 'http://www.venicegardentour.org'},"Don’t miss touring more than 30 eclectic and imaginative gardens and homes of the unique seaside community of Venice, benefiting the non-profit Neighborhood Youth Association’s Las Doradas Learning Center.

",2014-05-03T10:00:00,2014-05-03T17:00:00,,Neighborhood Youth Association,310-821-1857,"$60 in advance, $70 at the door","Family Friendly, Tour LA"
Undiscovered Chinatown Tour,{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com..    

",2014-05-03T10:30:00,2014-05-03T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Urban Ocean Festival,{'url': 'http://www.aquariumofpacific.org'},"Explore and celebrate Southern California’s coast during the Aquarium’s annual Urban Ocean Festival. Activities include art exhibitions, a fashion show, mural painting, poetry readings, booths, and a contest for designs using recycled materials. Urban Ocean boat cruises will be available during the weekend for an additional cost.

This event takes place on May 3 & 4 

",2014-05-03T09:00:00,2014-05-03T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Fairs & Festivals, Culture & Community"
Urban Ocean Festival,{'url': 'http://www.aquariumofpacific.org'},"Explore and celebrate Southern California’s coast during the Aquarium’s annual Urban Ocean Festival. Activities include art exhibitions, a fashion show, mural painting, poetry readings, booths, and a contest for designs using recycled materials. Urban Ocean boat cruises will be available during the weekend for an additional cost.

This event takes place on May 3 & 4 

",2014-05-04T09:00:00,2014-05-04T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Fairs & Festivals, Culture & Community"
Cinco de Mayo,{'url': 'http://www.calleolvera.com'},"A celebration of Mexico’s victory over the French forces in Puebla, Mexico in 1862, with popular and traditional music, cultural presentations, dance, and food booths for everyone to enjoy.

This event takes place on May 3 & 4 

",2014-05-03T10:00:00,2014-05-03T22:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Family Friendly, Holiday Celebration, Fairs & Festivals, Free, Culture & Community"
Cinco de Mayo,{'url': 'http://www.calleolvera.com'},"A celebration of Mexico’s victory over the French forces in Puebla, Mexico in 1862, with popular and traditional music, cultural presentations, dance, and food booths for everyone to enjoy.

This event takes place on May 3 & 4 

",2014-05-04T10:00:00,2014-05-04T22:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Family Friendly, Holiday Celebration, Fairs & Festivals, Free, Culture & Community"
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-03T00:00:00,2014-05-03T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-04T00:00:00,2014-05-04T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-05T00:00:00,2014-05-05T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-06T00:00:00,2014-05-06T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-07T00:00:00,2014-05-07T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-08T00:00:00,2014-05-08T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
