naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi,kategorije_sifre_new,kategorije_nazivi_new
5. Poročni sejem Velenje,načrtovanje poroka postati skupno doživetje leto velenje vila bianca potekati butičen poročen sejem vrsta namenjen predstavitev dober poročen ponudnik lokalen okolje širok sejem postati vsekakor vreden obisk najti popoln lep dan pupa velenje balon roman zlatarna brežnik celj žalec poročen agencija gog vba oblačilen lepoten studio anaj vid jakop satuaro lum lum paka vila velenje gostilna triglav dobrna lesnika lavender hill eca resorta džon kočivniklesjak poroka petiti art blu hill poezija les iomy delights plesen salon salsa gloria sist dua harfa flavta,2020-03-07 10:00:00,335,2916077268457216.0,"16,25","Kid Friendly,Art",25,Art
Personal style workshop by Maja&Nina Šušnjara,maribor prihajati lep kraj pripraviti personal style workshop maj nina pridružiti druženje kjer beseda teči lepoten moden oseben stil zasičen informacija lep najbolj moden najbolj kul mladostno dobro oseben stil neodvisen trend naučiti najti oseben stil ostati zvest termin prijava workshop prijava pisati inbox pripis ime priimek kontakten telefon elektronski naslov lokacija city maribor cena eura število mesto omejen dodaten informacija lahko poklicati pisati inbox program beauty oseben stil ključen vprašanje iskanje let osnoven korak ličenje praktičen nasvet osnoven ličilo pripomoček kozmetičen torbica barva čas kratko individualno svetovanje fashion oseben stil ključen vprašanje iskanje let oblačenje glede tip postava osnoven oblačilo investicijski kos omara barva čas kratko individualno svetovanje videti,2020-03-11 17:00:00,111,241887409174878.0,1,Wellness,1,Wellness
Poizpitni YUGO ROCK s Petro Zore & Bomb Shell ❋ 10.3.❋ @TopSix,drag študentka drag študent izpit opravljen neopravljen izpit pozabljen naspati imunost kava energijski pijača izginiti upati vprašanje odgovoriti pozitivno izpiten obdobje zdravstven fakulteta fakulteta računalništvo informatika fakulteta uprava fakulteta elektrotehnika pripraviti dober poizpiten žur marec klub topsix proslavljati opravljen izpit neopravljen najbolj pomemben zažurati skupaj klub tresti poskrbeti skupina bomba shell petra zora poizpiten žur nabrati nov semester ura ura sedenje predavalnica pisanje seminarski naloga oblikovanje nov spleten stran zgodnji vstajanje praksa zato udeležba obvezen cena vstopnica tickets prices predprodaja vstopnica presati fakulteta uprava zdravstven fakulteta avla fakulteta elektrotehnika glaven avla fakulteta fakulteta raćunalništvo informatika avla fer cena vstopnica dan dogodek navaden regular eura vip rezervacja miza karta boat eura vip rezervacija miza jak topsixclubs info luka kopinšek studentskizuriljubljana gmailca top six day night club tomšičev ulica ljubljana nati sponzor dogodek fitnes klub ful povezan frik stromars pacient,2020-03-10 23:00:00,760,331835760245003.0,15,Party,15,Party
TRIBE Gathering V Dogodek prestavljen,finda your triba lov hard skupen vizija skupen vrednota spomladanski edicija plesen družaben dogodek prebujati plesen parket ognjišče plac borisov pričakovati trajba ritem ljub udaren poezija tokraten domačen malo orkester zasedba mnogooka nexetuk densati poseben gost bel štrped štrpedov rod prijatelj priti zaplesati trajb dmg iiiia,2020-03-20 22:00:00,166,370047053120239.0,38,Dance,38,Dance
Rapetek 155: VAZZ,liv vazza gengst bestrd dje sunnysun white tokraten rapetek nastopiti individuum pankrt young prešeren mlad gams vazza nastopiti individualno oder premierno zakorakati živo zasedba prvič spremljajoč maloštevilen učinkovit bend album predstaviti malce drugače prevetren oživljen aranžmajski paket mlad prešern pridružiti razen gost večer vpeljati gengst grega wer akati gengst bestrd vazza trenutno perspektiven definitivno dejaven domač ems mlad generacija izvrstno znajti medprostor boombapovski izročilo razen sodoben izraziti kratek izdati toplo sprejeti album jacob videospot nametavati hitro lahko slediti vabljen vstopnina predprodaja way storiti gala hala prireditev dan koncert musica policy hip hop,2020-02-28 22:00:00,621,356008681090989.0,2,Music,2,Music
??????? ?????? ???̌?? | Festivalna dvorana,country plesen večer soboten plesen večer prečudovit festivalen dvorana ljubljana vilharjev cesta twa step plesen delavnica začetek plesen večer plesen delavnica zaključek večer plesen presenečenje tek večer twa step delavnica potrebovati predznanje naučiti osnoven korak nadaljevati nov figura par predhoda prijaviti info wildwests cenik vstopnica twa step delavnica twa step vstopnica otrok leto imeti vstop brezplačen glasben želja zbirati info wildwests videti,2020-03-07 20:00:00,674,679359145462450.0,"16,38,304","Kid Friendly,Dance,Cowboy western music",38,Dance
Sobota zame - dan za dušo in telo! Dobrodošli!,sobota februar čakati sobota dan duša telo odklop skrbeti zanimiv predavanje stojnica vedno drugače drugje dobrodošel vstopnina eura dan prijava dogodek potreben priti ostati poskrbeti predavanje potekati dvorana označen modro rumeno barva urnik dogodek sobota moder dvorana alenka leonard merhar sproščen odločanje rumen dvorana apolonio galant konflikt medsebojen odnos moder dvorana andreja tasič oditi odnos preživeti rumen dvorana maj bratuža pomladen prerajanje transformativen energijski delavnica moder dvorana mir tahirović svetovalka pogovor stiska vpogled življenje lahko narediti življenje moder dvorana saš gerčar teta imeti lasek moder dvorana zen škerjanec biodanz mini plesen delavnica starost spol rumen dvorana tamara andrašič komunikacija razumevanje partnerski odnos moder dvorana društvo priložnost povezati življenjski energija uporaba ustvarjanje rumen dvorana minec kavčič certificiran terapevtka metoda donna dneven energijski rutina dobro počutje vitalnost kratek opis predavanje gospa mir tahirović beseda vedeževalka opisati svetovalka pogovor stiska naslov predavanje lahko narediti življenje priznati zelo zanimiv ženska globok odločen glas veseliti deliti življenjski izkušnja teta imeti lasek naslov članek saš gerčar zapisati revija navdihnim članek bolj aktualen izgorelost naslov predavanje imeti saš dogodek sobota city hotel ljubljana saš gerčar izgorelost srečati množično razpredati zato kroničen stres imunski sistem povzročiti škoda članek vzbuditi veliko zanimanje pozitiven odziv želja primer pomagati ustaviti prej skleniti zgodba delo širok javnost zgodnji soočanje diagnoza spoznanje način postavljanje noga roka zgodba deliti saš gerčar fotka saš gerčar posnet revija jan zarja andreja tasič oditi odnos preživeti srečati oseba prepričan konec življenje konec deliti dober slab stvar nato zgoditi odnos prekiniti podreti svet izginiti sanja upanje zaupanje zdeti preživeti nikoli več sposoben ljubiti srce zelo zlomljen nikoli več zaceliti predavanje podrobno posvetiti soočiti izguba odnos človek lahko preživeti zdeti več andreja tasič magistrica zakonski družinski študij zakonski družinski terapevtka vabljen alenka leonard merhar sproščen odločanje sprejemanje odločitev mnog dostikrat povzročati nelagodje stres tokrat pogovarjati lahko narediti odločanje sproščen odločitev negled pomemben zdeti negled iti izbira kava čaj nadaljevanje končanje òdnos služba ipd vabljen minec kavčič dneven energijski rutina dobro počutje vitalnost praktično izvajati osnoven razširjen dnevno energijsko rutina svetoven priznan zdravilka donna naučiti prepoznati trenutno potreba posamezen vaja prepoznati kroničen stanje določen vaja priporočati izvajanje daleč čas telesen energija ravnovesje izboljšati počutje povečati vitalnost okrepiti imunski sistem izbistriti spomin predavanje stil praktičen delavnica udeleženec prejeti pisno slikoven gradivo minec kavčič certificiran terapevtka metoda donna aktivno širiti učinkovit tehnika energijski medicina slovenija oblika delavnica svetovanje delavnica zelo praktičen izkustven individualen svetovanje povabiti spodbuditi oseba stopiti visok potencial pokazati način aktivirati notranji zdravilec več del lahko prebrati spleten stran tamara andrašič komunikacija razumevanje partnerski odnos predavanje pomemben čen partnerski odnos ljubezen pomemben pogovor uničevalec odnos ljubosumje preteklost prepričanje vzorec beseda spustiti kontrola nadzor delovati drama tamara andrašič avtorica knjiga zaupati življenje predavateljica logoterapevtka blogerka ustvarjalka inspiratorka posloven oseben življenjski pot raziskovalka človekov duša radovednica ljubiteljica narava umetnost slika ples glasba oboževalka potovanje sonce morje zen škerjanec biodanz oblika ples združevati glasba gibanje pristno človeški povezovanje namen naučiti izražati čustvo zmanjšati oddaljenost razmišljanje občutek biodanz vplivati medsebojen odnos občutek samospoštovanje harmonizirati telesen drža izboljšati delovanje imunski sistem primeren spol glede starost biodanza predstaviti zen škerjanec certificiran vaditeljica biodanz sistem rolanda tora pomoč biodanz najti notranji moč sprememba življenje upati živeti resnica ojačati občutek lasten vrednost samospoštovanje vedno znova odkrivati radost obenem svetost življenje udeleženec delavnica predati sporočilo življenje pustolovščina vredno živeti dan znova ustvarjen ustvarjanje kadarkoli lahko domisliti nov scenarij društvo priložnost povezati življenjski energija uporaba ustvarjanje osnoven načelo trening naravnost naravno moč ustvarjati življenje pomeniti naraven zdrav srečen neločljiv vesolje vesolje vedno poslati opozorilen znak začeti tolmačiti znak pričeti razumevati naravno naučiti prisluhniti vesolje zboleti nesrečen položaj navadno videti težava ponoven povezava življenski energija težava lahko razrešiti kvaliteta energija odvisen stopiti stik visok nivo življenski energija raven kjer čist energija sporočiti navodilo začeti kazati posameznikov zavest prepoznati prepričanje misliti definirati pogled svet predstaviti poskrbeti močen pretok kvaliteten življenjski energija telo prenoviti povečati energija notranji mir trening povezava energija začeti zavedati miseln vzorec spreminjati apolonio galant konflikt medsebojen odnos življenje srečevati različen področje konflikten situacija posloven zaseben področje nastati običajno prepozno roditi jeza strah žalost vabiti predavanje konflikt medsebojen odnos nastati konflikt strah skriti ljubezen vplivati konflikt način reševanje apolonio galant leto profesionalno pomagati človek človek voditi proces oseben duhoven razvoj predavanje delavnica seansa človek pomagati odkriti razkriti vpliv dogodek situacija preteklost ponavljati sedanjost imeti negativen vpliv življenje apolonio galant pogovor uvid lahko pomagati razumeti problem dogodek situacija nahajati spoznati rešitev problem nasvet sprememba pomoč sprememba oseben duhoven rast individualno svetovanje mina sobota brezplačno maj bratuža pomladen prerajanje transformativen energijski delavnica pomoč starodaven mističen invokacija bitje luč usmeriti visok energija zdravljenje preobrazba nekoristen zapis celičen dušen spomin sprostiti nadomestiti čisto ljubezen visok svetloba iti živ izkustven proces prinesti učinkovit trajen sprememba sobota ustvariti svet prostor udeleženec lahko izkusiti blagodejno delovanje celičen zdravljenje oseben preobrazba sproščujoče zdravilen vabljen maj bratuža predsednica društvo utvara prof angleški nemški jezik življenje posvečati oseben razvoj tesen povezava narava prihajati stik modrost prednik izkustveno raziskovati človeški psiha različen tradicija metoda uspešno opraviti več učenje umik iniciacija budističen samostan zaključiti šamanski trening program kolibrijev zdravljenje trening jedrn celičen preobrazba imeti licenca ponovno povezava veselje delo izkušnja človek podpirati voditi spreminjanje razširjanje zavest čustven duhoven blagostanje stojnica predstaviti društvo utvara center osebno rast povezovanje prirejati energijski delavnica izlet duša telo meditacija individualen srečanje ustvarjalen lahko poklepetati kupiti izdelek član poizkusiti frekvenca ponoven povezava toplo povabljen povabiti vrhunski predavatelj prvič večkrat nadgraditi znanje dobrodošel pridružiti katji,2020-02-29 09:30:00,127,130655377086127.0,27,Health,27,Health
Gozd na recept,oktober vabiti izobraževalen seminar gozd recept danes živeti hiter pas poskušati uravnotežiti zdravje družina delo prost čas bolj kdajkoli prej potrebovati kraj kjer počutiti dobro delovati optimalno študija dokazovati podcenjevati vpliv narava človek zvok vonjava naravno svetloba gozd reka ocean živalski svet hoja narava dihanje sprostitev možnost rehabilitacija zmanjšanje stik narava odstraniti pomemben zaščita psihološki stres možnost kognitiven regeneracija znanstvenik ugotavljati odmik narava pomeniti negativen učinek imunski sistem raziskava okoljski psihologija kazati narava spodbujati splošno dobro počutje zmanjševati stres izboljševati koncentracija spodbujati zdravje današnji človek predstavljati velik psihološki varnosten faktor občutek povezanost narava bolj prepoznan osnova uravnotežen trajnosten način življenje potrjevati izbruh ustvarjalnost reševanje problem občutek dober počutje sprehod narava seminar spoznati pravočasno prepoznati stres obvladati stres bivanje narava spodbujati zdravje notranji mir gozden terapevtski sprehod izhajati japonski praksa imenovan shinrin yok imeti dokazan pozitiven učinek zdravje povezati narava gibanje sprostitev okrevanje seminar praktično naravnan predstavitev delavnica narava več program povezava,2019-10-15 09:00:00,124,1200962140059391.0,27,Health,27,Health
La Noche Caliente,ready ponovitev najbolj strasten zabava klub squaro noch calient mavrica karibski zvok premešan hip hop radijski pop reggeton salsa bachati latinski vibracija ulica miamia new yorka lajati večen klasik rhythm night bailando vamos play latinski bad boys shakira ricky enrieque gospa lopez soboten jutro zapeljati brat dvojček dean mikati dean eti microfona dje dragon dober namig glasben želja dobiti poslušanje oddaja hore feliza radio salomon nasvet obisk šank naročiti flamingo verjeti dovolj polnoč zastonj vstop klub squaro kongresen trg info miza,2020-03-13 23:00:00,185,109340347105959.0,38,Dance,38,Dance
Dobrodelni smeh / Gašper Bergant & Klemen Bučan / 21. 2.,smeh zabava dobrodelnost večkrat dokazati znati pomagati hrastnik obetati dobrodelen stand večer naslov dobrodelen smeh petek februar solza nasmejati zelo dobro poznan komedijant kleme bučan gašper bergant izkupiček vstopnina celota namenjen darjan nikolas normalno življenje potrebovati aplikacija matičen celica operacija odstranitev cista možgani celoten zdravljenje mogoč narediti tujina najbolj skrbeti okrevanje operacija zelo dolgotrajno zasavci vedeti nikolas darjan smejati februar delavski dom hrastnik nakup vstopnica prodaja število sedišče omejen zato predlagati čimprejšnji nakup dobrodelen vstopnica stand komedija vrednost prodajen mesto mladinski center hrastnik delavnik mct mladinski center trbovlje delavnik dan dogodek pol ura začetek dogodek razprodan konkreten doza smeh vabiti koncert mladinski center hrastnik kjer nastopiti,2020-02-21 18:30:00,173,305270820291558.0,"16,64,135,136","Kid Friendly,Comedy,Comedy (theater),Sketch comedy",64,Comedy
Napihljiva Igralnica @Draš Center,drašev svet napihljiv igrati lahko zabavati otrok starost naprej samostojno spremstvo starejšiego bratec sestrica tobogan max poligon biga trampolin čakati preizkusiti noro zabavati vabljen družba vikend sobota nedelja urnik odprt igralnica odmor čas kosilo ati mama lahko medtem sprostiti odličen kava posladkati kos torta igrati noreti zabavati vstopnina ura dan dan,2020-05-30 10:00:00,137,173912486985.0,"15,16","Party,Kid Friendly",15,Party
FLOSARSKI BAL 2019: Tradicionalna flosarska nedelja,nedelja avgust ssk ljubno btce fis tekma smučarski skok smučarskoskakalen center savina povorka smer foršt trg vrbji pričetek tekmovanje kiparstvo motoren žaga prireditven prostor vrbji udiranje spust flos reka savinja prireditven prostor vrbji flosarski krst flosarski društvo ljubno savinja prireditven prostor vrbji flosarski večer ansambel franec mihelič prireditven prostor vrbji,2019-08-04 09:00:00,256,1456797317914577.0,5,Other,5,Other
Prestavljeno Moški plesni show s skupino Total Knockout,drag mož partner fant drag žena partnerka ljubica kupiti prijetno darilo dan žena slučajno pozabiti edinstven priložnost odkupiti kupiti vstopnica edinstven dogodek kranje dom primskovo moški del tokrat ostati doma ženski večer namenjen ženska sigurno kasno oddolžiti priti domov dolg čas kranje gostiti plesen skupina totati knockout mali erotica danec show sestavljati postaven fant zagotoviti vstopnica čimprej več fant arena stožice totati knockout green gold zagreb show green gold zagreb show green gold zagreb show predstavitev nastop facebook totati knockout mali erotica danec show instagram,2020-03-14 20:00:00,266,2499148750327325.0,"12,38","Dancing,Dance",38,Dance
Prešerni karneval 2020,kranje letos pusten sobota februar potekati prešeren karneval glaven trg ura odvijati otroški rajanje ura mesten knjižnica prešernov gledališče kreniti pusten povorka etnografski skupina slovenija tujina letos povorka začeti skupina kranjski vrtec osnoven šola povorka glaven trg pusten diskoteka izbor dober pusten skupina pusten skupina odrasel otrok spremstvo starš član prijaviti elektronski naslov info visitkranjs kasno,2020-02-22 14:00:00,411,203215973039711.0,15,Party,15,Party
Grupa Vigor v Lajfu!,lajf zabava lajf prijatelj lajf kul dogodek vabljen koncert grupa vigor hiteti sam marija zašta mučiti nevjera joša faliti doveti red volja lajf petek cena vstopnica predprodaja dan koncert rezervacija miza možen nakup boata izbira rezervacija sprejemati info lajfmbs vstop potreben zagotavljanje varnost hišen red pridruževati pravica pregled oseben dokument vhod vabljen,2020-05-23 23:00:00,679,101698298017436.0,2,Music,2,Music
MART,tipičen jazzovski zasedba navaden postrock skupina četverica talentiran glasbenik vipavski dolina ustvarjati domiselno instrumentalen glasba polno kompleksen ritem melodičen klavirski premik virtuozen kitarski prehod krasiti sproščen svobodomiseln pristop razživeti energičen improvizacija mart pristen domač domestic posnet kitaristov dneven soba družba domač mart teatralen skladba kratkometražec theatricati resnica napisan gledališki predstava mart čaroben pričati magicati odziv nastop potrjevati epje sedaj zapakirati nov lpa album vuk promovirati bar hiša mlad petek,2020-04-03 22:00:00,119,464907200287141.0,2,Music,2,Music
Predvalentinov stand up // 13. 2. // Študentski kampus,trgovina pol leto prej napadati okrasek darilo dober polovica dan valentinovo vabiti kampus predvalentinov stendap nastopati človek ljubezen medoseben odnos romantik zagotovo vedeti največ komik nastopajoč več način fejlati oseben življenje miniti dovolj čas srce parajoč zgodba obrniti hec sedaj povedati seja vedeti stvar žalosten pozdraviti množica človek smejati faca nastopati žan papič aleš novak opna majker matija grkman povezovalec rok bohinc aleš šmarčan jelša kemik kul komik skečoholik videti štartati slovenija dogodek samski dolgo zveza realen vedeti predober trajati žan sežančan odličen komik zagotovo videti telenovela gorski sanja gledati zato skenslati matija stendap začetnik greenhorn imeti opis proma fotka večer povezovati rok bohinc car legenda izjemen ljubimec avtor opis četrtek februar kje večnamenski prostorhuba študentski kampus predprodaja vstopnica potekati recepcija kampus februar nakup vstopnica možen dan dogodek dalje recepcija kampus predprodajen cena cena dan dogodek,2020-02-13 19:00:00,295,533671950114401.0,"64,142","Comedy,Stand-up comedy",64,Comedy
Maribor - Svetovni pohod z rdečimi baloni,leto skromen sprehod maribor poseben otrok povezati celoten svet mednaroden dan redek bolezen tradicija rdeč balon ljubezen sprejemanje imeti leto eka dodati naravno vrvica lesen palčka otrok dobiti enakovredno mesto družba bati ponuditi roka otrok vrstnik srečevati imeti sprehod priložnost izgubiti predsodek podnaslov letošnji pohod obrniti mama otrok največkrat imeti pravi psihološki pomoč porodnišnica država poslati prijazno pismo opozoriti skrbeti otrok psihično podpora ženska nikakor pozabiti zloženka ponujati brezplačno nestrokovno pomoč stran starš časten dogodek država gospod borut pahor slovenija maribor ljubljana celj murski sobota kranje nov mesto idrija ptovati ajdovščina nov gorica trbovlje postojna radlja drav velenje hrvaški zagreb tuzla srbij beograd švicati sevelen rusija sankt peterburg amerika iow afrik gambij avstrli sidney pisati info,2020-02-29 11:00:00,496,136825799834291.0,"1,4,16","Wellness,Volunteering,Kid Friendly",1,Wellness
Kralj Matjaž / Kostanjevica na Krki,drag kralj kraljica spoštovan kostanjevica krka petek kralj matjaž uradno odpirati vrata lokacija domovati center kostanjevica krka oražnov ulica bivši picerija otok dan otvoritev zabavati ritem akustičen glasba kraljev picopek poskrbeti vrhunski pica gost prihajati pizza truck poskrbeti peka pica prost hrana volja pivo slovenski tuj craft pivovar koktejl rok priden barman veseliti obisk povabiti prijatelj znanec dodatno poskrbeti brezplačen pica vrček pivo zdravje dober tek kralj matjaž,2020-03-20 18:00:00,257,882970775487439.0,15,Party,15,Party
Koncert No Name Blues Band,drag prijatelj bar rout gostiti znan izvrstno legendaren štajerski skupina blues banda fant zagotovo poskrbeti pravi čaga zažgati pun vsekakor pozabiti plesen šuh polovica dobro razumeti razumeti vstop prost vedno tokrat pustiti ravnodušen tokrat pripraviti presenečenje napolniti energija vljudno vabljen com show,2020-01-31 20:00:00,141,628959980525686.0,15,Party,15,Party
"Perpetuum Jazzile ""Le slovensko"" Novo mesto",vokalen orkester perpetuum jazziti show slovenski prihajati nov mesto pripraviti večer odličen priredba lep slovenski pesem vrhunski izvedba mednaroden priznan zasedba vstopnica prodaja,2019-09-21 20:00:00,1126,489098614819709.0,2,Music,2,Music
"Aka Neomi (indie, trip-hop)",elektronski indio pop triphop bolj počasen akustičen atmosfera izpoveden besedilo skupaj povezovati božajoč glas avtorica saš vipotnik edinstven kitarski vložek producent maria babojelić zvok neom poln vseskozi prelivajoč hkrati drzen ustvarjanje intuitivno omejevati drugače živo zasedba sestavljati talentiran glasbenik dejan slak bas kitara bas sint marka grubar boben igor matković klaviatura trobenta ljubljanski bend leto prevetriti slovenski pop scena nato čas ponikniti vrniti nov zvočno podoba zasedba začetek ustvarjanje glasno podpirati lgbtq skupnost pravica začetek imeti jazzovski pridih besedilo slovenščina skupina predpremierno predstaviti del nov album beautiful disasters iziti januar predstaviti hangar akati neom saš vipotnik vokal mario babojelić kitara sint programiranje boben igor matković klaviatura trobenta dejan slak bas bas sint marka grubar boben facebook instagram vstopnina euro,2020-03-21 20:00:00,193,959448327485337.0,2,Music,2,Music
Season Opening - Part 1,party peopsti ara backa zaslužen morje veseliti odpirati vrata nov sezona petek jutranji žarek popeljati dje stojka pričakovati noro noč nor cena pijača off cub libra redbull vodka gin tonica juica vodka off boat zamuditi otvoritven vikend čakati klub kmti pristaniški ulica maribor,2019-08-23 22:00:00,142,163874253634259.0,"15,19,30,50","Party,Drinks,Nightlife,Dance music",15,Party
Sergej Harlamov,vabljen literaren večer sergej harlamov pogovor nataliti milovanović predstaviti zadnji zbirka mnogoboj mitlogija liter nov pesem priti proteza nekoč slaviti zlat reka prinesti vzeti slaviti prazen prostor ostati zlat,2020-02-20 19:00:00,106,683205921839415.0,25,Art,25,Art
Led Zeppelin 2.0 / petki v Blue Bar-u,led zeppelin petek blu bar led zeppelin skupina poustvarjati glasba velikan rock nroll led zeppelin skupina tradicija obrniti glava leto kasno vedno upravičeno držati roka naslov velik rock nroll banda zgodovina skladba spopasti priznan slovenski glasbenik ime led zeppelin skupina sestavljati boštjan andrejc bushy kitara vokal night jump heavenix avtomobil skunk funka terre mystica patrick vlačič bas night jump heavenix terre mystica david morgana boben heavenix jura lesar janez bončina benča biga banda rtv slovenija lovro ravbar marina mortenson,2020-03-06 21:00:00,220,569963569747884.0,2,Music,2,Music
Odpade! Obratujemo nemoteno v zakonskih okvirih.,zimski izpiten obdobje zaključiti pričeti leten semester naporen izpiten obdobje sprostiti proslaviti opravljen izpit študentski svet tutor ekonomskoposloven fakulteta pripravljati zabava študijski leto uspešen brucovanje fakulteta predbožičen zabava slediti poizpiten zabava epf kdaj torek marec kje klub kaos turnir beerpong biljard odbit nagrada vstop prost,2020-03-10 22:00:00,140,613196195411903.0,15,Party,15,Party
Praktični nasveti za vzpostavitev harmoničnega odnosa z otrokom,podlaga izkušnja poučevalen svetovalen delo učenec brezplačen webinar ponedeljek ura predati konkreten praktičen usmeritev odnos enostavno pomiriti ohraniti mirnost komunikacija okrepiti zavedanje funkcioniranje ohraniti jasnost odločitev odnos otrok usmerjati energija odnos lahkoten sproščen radosten počutiti lahkotno samozavestno odnos otrok mirno komunicirati otrok razviti empatija sogovorec leto sodelovanje učenec starš pomagati prepoznavati nov delček sprejemati strah ranljivost čutiti začeti vedno več empatija jasnost odnos otrok pridobljen izkušnja oblikovati konkreten usmeritev vzdrževanje oblikovanje odnos otrok pomagati ohranjati samozavest mirnost lahko odnos bolj ljubeče odreagirati prispevati družinski harmonija dobro imeti volja velik izbira informacija nato odločiti blizek izkušnja znanje predan prinesti več jasnost pomirjenost odnos deliti pridružiti spremljanje webinar sledeče povezava,2020-06-01 18:00:00,170,111980668819694.0,"1,16","Wellness,Kid Friendly",1,Wellness
"Allstars big band KK 2020, koncert",allstars biga banda ritem mihati koretič rok lopatič matej hotka janez gabrič pozavna domena gantar saša rok štirn žan tkalec jura urek trobenta matej kravcar boris majcen darka sedak benčić kleme zupan jeromeja kostajnšek saksofon aleš suša lovro ravbar blaža trček boštjan simon bojan zupančič zasedba allstars biga banda tokrat zbran večinoma glasbenik študent glasba jazzovski pot začeti igranje biga band krški leto vabljen orkester zveneti danes koncert velik dvorana kulturen doma krški allstars biga banda igrati program glasba izvajati velik biga banda pisati znamenit aranžer zgodovina jazz count basia duk ellington woody herman henry mancin stan kenton thad jones bill holman neal heft quincy jones dizzy gilespia sammy nestica bob prodaja vstopnica kulturen dom krški vstopnina dijak študent upokojenec biga banda,2020-04-04 20:00:00,126,110035799153067.0,2,Music,2,Music
Aktivizem v Sloveniji,stoletje slovenija misliti aktivizem aktivist početi početi kje dobivati denar kampanja aktivistka aktivist različen sfera drobnogled vzeti vloga vpliv aktivist slovenija taktika delovanje merilo uspeh uvod dogodek simona zupanc kristina rakinić predstaviti izsledek raziskava ideja ideologija ideal aktivizem nosilec alternativen družben gibanje slovenija študent etnologija kulturen antropologija psihologija filozofski fakulteta ljubljana objaviti lanski leto zbornik raziskava volja splet okrogel miza sodelovati urša zgojznik ekolog meja simona muršec parada ponos nik kovač marec filip dobranić danes nov dan okrogel miza moderirati domena savič državljan vstop brezplačen povedati naprej,2020-04-16 18:00:00,467,548289388840739.0,32,Causes,32,Causes
Zaključni dogodek #gremovhribe 2019 - z Nino Pušlar!,praviti lep enkrat konec dogodek gremovhrib veljati zadnji sobota avgust začasno posloviti tradicionalen druženje dober namen sezona poslanstvo varimoboljšisvet vedno pozitiven razpoloženje vesel sobota avgust šmohorje več sam lokacija zapisati spleten stran tokrat pripraviti zanimiv družaben program zabaven nagraden igra zvest pohodnik posebej nagraditi dogodek tokrat poskrbeti otroški ustvarjalen delavnica zato pozabiti kratkohlačnik dan lahko preživeti narava prijatelj naučiti številen veščina snidenje šmohorje ekipa gremovhrib,2019-08-31 08:30:00,373,1518879365093491.0,"3,16","Sports,Kid Friendly",3,Sports
Made in (100%) Ex-Yugoslavia // Couch Party // Edition 2,dneven soba mnog slovenec ponovno priti dje dati tokraten tematika mada exyugoslavia edicija številka miksati exyuga hit raznolik glasben žanr obdobje živo pridružiti sobota maj povabiti prijatelj kavč zabava pomagati omejiti fizičen kontakt čas koronavirus sodelovanje lif klub čil bar club xtim klub videti mogoč plesati,2020-05-09 20:00:00,227,108480445849805.0,38,Dance,38,Dance
Frivolus – festival uličnih umetnikov,frivolus festival uličen umetnik dan očarati obiskovalec predstava oživeti ulica trg mesto koper celoten program festival brezplačen program kraj carpaccio trg hlavatyjev park čevljarski ulica mesten promenada primer slab vreme predstava odviti taverna festival organizirati šoup sofinancirati mesten občina koper medijski pokrovitelj radio capris projekt podpirati luka koper okvir sklad živeti pristanišče partner dogodek zavod villa domus pokrovitelj kavarna triglav sladoledarna caf calypsa,2019-09-06 10:00:00,515,103779682994273.0,"16,17","Kid Friendly,Theater",17,Theater
Frivolus – festival uličnih umetnikov,frivolus festival uličen umetnik dan očarati obiskovalec predstava oživeti ulica trg mesto koper celoten program festival brezplačen program kraj carpaccio trg hlavatyjev park čevljarski ulica mesten promenada primer slab vreme predstava odviti taverna festival organizirati šoup sofinancirati mesten občina koper medijski pokrovitelj radio capris projekt podpirati luka koper okvir sklad živeti pristanišče partner dogodek zavod villa domus pokrovitelj kavarna triglav sladoledarna caf calypsa,2019-09-08 10:00:00,178,103779682994273.0,"16,17","Kid Friendly,Theater",17,Theater
Osvobodi se manipulacij,domač posloven okolje srečevati izjemno manipulativen človek vzbujati velik občutek krivda strah nižati samozavest imeti občutek nikoli narediti izvajati različen oblika nasilje počutiti ujeti dajati občutek mešati žrtev mobing deloven mesto počutiti partner sorojenec mama nadrejen sodelavec prijatelj potem predavanje naučiti osvoboditi ponovno zadihati preti živeti patološki narcis oza čustven vampir praviti pogovoren toksičen odnos znanje velik moč obeležitev svetoven dan narcisističen zloraba predavanje junij naučiti prepoznati posameznik prepoznati razumeti manipulacija spoznati celoten jasen odnosen proces spretno peljati žrtev namen popolnoma omrežiti podrediti narediti odvisen konkreten učinkovit trik lahko uspešno zoperstaviti manipulacija predavanje trenuten razmera potekati onlina oblika trajati zato lahko udeležiti konec slovenija imeti težava prevoz kotizacija znašati evro oseba udeležba potrditi mail petrabrneps gmailca odgovor nato dobiti potreben nadaljnji informacija pozabiti velik moč neznanje opolnomočiti predavati forenzičen psihologinja peter brn mag pes zaposlen probacija ministrstvo pravosodje zunanji sodelavka primorski univerza predavati forenzičen psihologija študent uporaben psihologija biopsihologija psihološki svetovanje pomagati človek opolnomočiti različen življenjski preizkušnja,2020-06-01 18:00:00,210,419019862188136.0,1,Wellness,1,Wellness
