naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi
17. Balkan Open Jam - Bosna,balkan open jama bosen biser sevdah odpreti srce topel noč program delavnica bosanski ljudski glasba kenan sarajevo delavnica brezplačen potreben prijava gmailc balkan open jama kenati vokati jelen sora vokati obo aljoš struga basa dejan jovan perkusija kenati vodilen glas mlad področje ljudski glasba magister klavir vokalen solist aktiven poučevati klavir petje različen glasben zvrst največ ljudski glasba balkan posebati aranžmaj preplet pristop petje različen glasben žanra način poskušati ustvariti fuzija pustiti sled prihodnji poslušanje vabiti pogumen manj pogumen glasbenik plesalec poslušalec oder prinesti pesem znati skrb naučiti balkan jama real book dogodek delen podprt stran mol vstop prost,2019-08-24 13:00:00,283,110116212471600.0,2,Music
Sunvolley OPEN - Mešane trojke,buuuum mešan tjaš kotnik tjaš jančar beachvolleyball tea športen društvo sunvolley sobota ura organizirati sproščen zabaven rekreativen turnir odbojka mivka mešan trojka koper prijava lahek čist ekipa vsebovati ženski igralka ekipa imeti lahek rezervnegarezerven igralec izbira soigralec omejitev akcijaaaa igra igrati dobljen niz točka priti izenačenjati niz igra niz točka edin pravilo upoštevati podaja lahek prst tekmovanje max šti ekipa del skupina igra uvrstiti ekipa skupina uvrstiti finale finale dober finale dober finale dober igra lasten odgovornost oseba cena vštet prijavnina hrana paketa presenečenje prijavnina poravnati sam dogodek prlijaviti povezava nagrada dober uvrstiti ekipa pokati medalje manjkati super glasba poseben gost zemljak dober slovenski odbojkar super zabava mivka zapomniti sobota kje igrišče odbojka mivka koper skupen ogrevanje yog power yog ura zbor prijava ekipa prijava ekipa obrazec povezava koda max šti ekipa prijava oza zapolnitev maksimalen število ekipa dodaten informacija kontaktirati tjaš čakati videti mivka,2019-09-14 08:30:00,206,103779682994273.0,3,Sports
2 OBLETNICA TROJE  16 NOV 2019 @ROBERT BIJELIĆ-DŽIDŽA-ADO ALBANY,dolenjski cesta ljubljana sla infa rezervacija prost vstop vabilo obletnica nastopati robert bijelić aleksander stojković džidž admir ibrićić,2019-11-16 20:00:00,370,1751214148438481.0,15,Party
"Mi2 | Četrtek, 5. December 2019, Cvetličarna",ponoven cvetličaren early bird razprodan predprodajen cena razprodan reden predprodaja volja mesto event,2019-12-05 21:00:00,3891,43956324012.0,2,Music
"Dražen Zečić & Marko Škugor - Šempeter pri Gorici, 15.12.2019",letošnji december posebej pravljičen vrač razprodan uspešnica velik božičen turneja dražen zečić marka škugor gost čakati odličen glasben poslastica najbolj priljubljen splitski pevec pevec trditi imeti angelski glas nedelja december ura športen center hit poceni vstopnica prodaja event petrola slovenija mynights vstopnica parter stojišče kontingent razprodan kontingent volja zadnji kontingent tribuna sedišče kontingent razprodan kontingent razprodan kontingent zadnji vstopnica zadnji kontingent pozor število vstopnica omejen vhod odpreti začetek prireditev aktualov galati otrok vključno let starost imeti vstop prost sedeti naročje starš del čaroben pravljica prepustiti glasba ogreti srce,2019-12-15 19:00:00,727,181906471980465.0,15,Party
Basics w/ Poetovio deep,lokalen scena rasti razvijati podpora barvit ekipa javljati xtima klub kjer truditi pogosteje vključevati glasben nota klub gostiti top notch lokalec širs okolica tujina linija dogodek basics tokraten serija vabiti dje mešalka ptujski deep hous crew mešanje leten čas val fres luft rasti menjevati updatati selekcija globina hous minimati žena ideja bass linija posrkati obzorje bolj izbran ritmičen oddelek minimati techen reden linija event after ptuj povezovati gurman sodoben ekipa didžej poetovio deep tokrat sprememba odpreti floor mali bolj hiter electer ritem vseeno topel melodija teren gost ptujski patron znan krotilec džungla pričakovanje premieren vinyti releas record label rima poglavar lokalen kolektiv just jama rokki lina rokki just jama poetovio deep floor awaits peeps design nejc rodošek vstopnina club xtima osojnikov cesta ptovati,2019-10-25 10:00:00,272,1551197985160217.0,15,Party
7. obletnica restavracije Maharaja v Sloveniji,praznovati drag ljubitelj ljubiteljica indijski nepalski kulinarika obletnica restavracija maharaj slovenija pripraviti razširjen samopostrežen volja četrtek oktober cena eura all can eati samopostrežen juha kad soup bučkin juha glaven jed butter chickno košček piščančji prsi sladek maslen omaka corma beef košček govedina kremen kokosov omaka finger fis ocvreti paniran ribji fil indijski začimba rajem makhan rdeč fižol kremen punjaba omaka tandoor chickno košček piščanec mariniran domač jogurt ingverje čilij začimba pečen tandoor peč resh chickno košček piščanec mariniran domač jogurt inda orešček ingverje začimba pečen tandoor peč garlica kebaba košček sojin tofujati mariniran domač jogurt česen pečen tandoor peč tandoor vegetables mešan zelenjava pečen tandoor peč veganski karaha tof sojin tof čebula paradižnik zelen paprika indijski omaka veganski vega pasta pražen testenina zelje korenje sojin omaka veganski lahek vsebovati jajce sled dati jhanek leča ingverje paradižnik nepalski veganski onion bhajio ocvreti čebulen obroček paniran čičerikin mok veganski buttered naan maslen bel indijski kruh garlica naan bel indijski kruh česen tandoor rotiti chapati polnozrnat indijski kruh veganski tandoor alo parath polnozrnat indijski kruh polniti krompir grah veganski basmat rica basmat riž veganski solata solaten bar različen solata rezervacija miza sprejemati infa maharajasa število mesto omejen videti,2019-10-17 11:00:00,460,308246895866411.0,18,Food
TINTA | Festival stripa Ljubljana 2019,stripovski oktober znova poskrbeti ljubljanski festival strip tinta pestra paleta dogodek razstava sejem strip pogovor delavnica filmski druženje domač tuj stripar gost prihajati slovit mojstrov stripovski izraz lloyd britanski stripar risar znamenit for vendetti mathie prekaliti francoski mojster igra svetloba senca schrauwen trenuten najbolj vroč samosvoj avtorjev svet strip vivès osrednji ime nov francoski strip osrednji dogodek potekati oktober različen prizorišče ljubljana bogat spremljevalen program poskrbeti stripovski obarvan cel mesec tinta razliti koper kranje maribor več program več infa slediti fba tinta festival strip izjema dogodek sklop festival obiskovalec brezplačen october tinta ljubljana comics festival will againa provid witi array events for comics fans lectures comics fair talks workshops film with slovenian anda foreign comics artists festival will host foura renowned masters comics arta david lloyd legendary britis comics artist famed for vendetti mathie veteran french master light anda shadow oliviera schrauwen currently hottest anda most uniqu authors worlda comics bastien vivès maina figures new french comics anda othra guests maina festival events will placa october ati various locations ljubljana with rich programma ensuring thati almost entir month will coloured comics with tinta spilling over koper kranje anda maribor well abouti programma follow fba tinta festival strip aparta few entry all festival events fre charg producent producer kino šiški partner festival festival partners comix aziti knjigarna galerija alkatraz kud mreža vodnikov domačija bienati slovenski neodvisen slovenski kinotek radio študent mhz trubarjev hiša mesten knjižnica ljubljana zavod kultura prosveta glavan naroden galerija obalen galerija piran mesten knjižnica kranje galerija dvor podpornik mesten občina ljubljana ministrstvo kultura javen agencija knjiga institut français dejati slovénio flanders sponsor medijski partner medio partners radio študent tamtam mesten plakat medio bus dpg mladina,2019-10-10 19:00:00,799,154287574875.0,"16,25,62,225,271","Kid Friendly,Art,Art exhibition,Comic book,Book discussion"
RK Celje Pivovarna Laško- MOL PICK Szeged,zadnji evropski tekma eliten velux ehf liga prvakov let celjski vitez pomeriti aktualen madžarski pokalen prvak molpicka szeged lanski sezona priti četrtfinale liga prvakov podpirt celjski mladenič zadnji domač evropski tekma let skupen moč truditi nadgraditi izjemen obisk lanski sezona navijač tekma skupen moč nadgraditi zmaga zagreb fant ponesti glasen strasten navijač,2019-11-24 17:00:00,824,8578153485.0,"3,16,157","Sports,Kid Friendly,Handball"
Tribute To Metal,uspeh težek zvok metati vračati plaža študent ankaran letos odličen blacka metallica tribut banda srbija domač rag against machina tribut banda ljubljana obalen iron siti dober znan cowboys hell lokacija znan pijača hladen žurek pošten pozabiti vzet kopalka vstop prost študent omogočen brezplačen kampiranje,2019-08-03 20:00:00,630,2219641488248330.0,"2,227,278,279","Music,Heavy metal music,Surf music,Beach tennis"
Tečaj SALSE za začetnike (pridite sami ali v paru),termin začeten tečaj sals nov sezona veselje razpisovati začeten tečaj sals tečaj izjemen zanimanje priporočati prijaviti dan pričakovati tečaj zelo zelo hiter razprodan kubanski sals igriva nezapleten ples par cilj zabava odličen glasba dober povezava partner matematičen nizanje figura tečaj lahek priti sam par pridružiti velik družina uživačev cuban ljubljana leto skupaj odkrivati vroč ritem gib kubanski sals oktober naprej ponedeljek odpirati vrata nov začeten skupina odpeljati karibski počitnice ljubljana pomemben tečaj zelo hiter zapolniti prositi čimprejšnji prijava infa cubanas oza obrazec tule cena tečaj eura oseba obisk minuta oza eura študent vplačilo mesec vnaprej nuditi eura popust skupen cena eura oza eura študent tečaj potekati btca praviti tečajnik najbolj strasten učitelj sals cuban zelo zelo zelo priporočati vzdušje tečaj ura napolniti energija ogromen dober volja neprecenljiv dragocen pozitiven energija prijeten družba dober glasba zabava dolg doživel počutiti prerojen življenje postati bolj zanimiv kubanski salsa družina ime cuban ljubljana ura teleportacija kariba vroč ritem strasten zanos kemija praviti žmoht hvala misliti lahek zgled potruditi tečajnik zato veselje hoditi postati del družina zato spraševati hvala popeljati strasten svet sals ljubezen vcepiti srce,2019-10-07 20:30:00,246,766020666743080.0,38,Dance
SOLVD Opening w/ Michael James (UK),solvda kolektiv poleten mesec izkoristiti snovanje sezona ljubljanski klet glaven ritem uvoden večer tokrat gostujoč britanec michael james spadati nov val prodoren mlad producent michael opozorilo let serija izdaja založba constant blacka constant sounda osvojiti ime apollonio ricarda baraca enza siragus mnog kratek kariera minimati hous ritem uspel unikaten zvok pripeljati nastop znan evropski klub hoppetoss sankeys velik oder alex ranerra poletje izkoristiti studijski ustvarjanje bok postaviti nov solvda član teo protiutež barski oder mornik selekcija posrkbel razgiban glasben kulisa maina michael james constant blacka alex ranerra solvda teo solvda bar mornik vje klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec tba dan dogodek infa infa garderoba lost founda gmailc,2019-10-12 23:00:00,602,126700024052347.0,15,Party
Slovenec in pol,slovenec pol dvoglav komedij nedelja november ura vabiti velik dvorana ipavčev kulturen center šentjura komediti slovenec pol triglav očak visok simbol kupljen goldinar leto zlatorog skalnat raj zavit megla mit legenda prepojen znoj kri plezalen pionirjev partner vardar znan pesem prizorišče neustrašen upor okupator danes top instagram poleten mesec obljuden bolj trgovski center čas popust selfa aljažev stolp lahek premagati selfiti aljažev stolp triglav privabljati pisan množica vedno najti junakov japonka kasneje reševati spraševati vrag zgoditi vzpon meter nadmorski višina kren plaža perica aleša prijatelj podoben interes manj podoben značaj gora različen aleša član planinski zveza izkušen pohodnik voditelj komik perica človek izguba ike epski pustolovščina poln presenečenje komičen zaplet duhovit replik smeh odpreti večen dilema pravi sloven iti triglav vstopnina nakup vstopnica možen event prodajen mesto petrola pošta omv jabek,2019-11-10 19:00:00,395,664461246989808.0,"2,16","Music,Kid Friendly"
A Blast From The Past - MIKK Murska Sobota,sobota oktober mikk klubski prostor vstopnina vstopnica prodaja mikkov kavarna tras backa nepozaben božičen žur posebej vroč poleten žurek barven povorek čakovec slišati ime blast past pomik meja kulten mikk murski sobota priden ekipa društvo prostor ceza čakovec odličen zabava povratek srečen brezbrižen čas nepozaben melodija zamena pričakovati dober volja pozitiven odnos najbolj nor plesen gib cel žura imeti specifičen opozarjati dress coda obvezen najti retra kolekcija nabirati prah podstrešje klet vskočiti barven bleščeč neokusen osvojiti plesen podje izlet popeljati dje spetz začenjati hit zgodnji ognjemet hit wonder polnoč slediti špica večer domač tras uspešnica zelo dober spomniti otroštvo mine tajč senen ostal legenda trešati pripravljen splošen plesen kaos čakovec veda spektakel enostaven zamujati mikkov obiskovalec lahek prepričati sobota oktober ura naprej trešer videti subota mikk klubski prostor trubarjev drevored murski sobota upad karta prodaja mikk tras backa nakon božićen tulum jednog poseben vrućega ljetnog izdanji šarena povorek čakovec kodnog ime blast past kreć granica slijeć kulten mikk murskoj sobota vrijeden ekipa okupiti udrug prostor ceza čakovec odličan provod povratak sretnija vreme zvukov scenografij zauzvrat dober volje pozitiv naraven najluđ plesen pokret cijeti party ima onati napominti dress coda obavezan prekopati retra kolekcija koj skupljaj prašina tavan podrum uskočiti šarena neukusen osvojiti plesen podje ovaj izlet dje pult voda dje spetz krećiti hitov ran nakon vatromet onehit wonder oko ponoć slijed špica večer domać tras koj još uvijek jak dober pamteti mine tajč senn ostal legenda trešati nem stajanje buditi spremen opć kaos domać ekipa već odaven znati ovakav spektakl propušti bud drag susjed uvjeriti mikk trešer videti,2019-10-05 20:00:00,437,1374693992803754.0,15,Party
2. Zeliščni sprehod v naravi!,dogodek zeliščen sprehod narava pravi uspeh odločiti dogodek jesen ponoviti pridružiti zeliščen sprehod kjer odkrivati divji rastoča gojiti zdravilen zelišče degustirati nabran zelišče izdelati aranž roka strokovnjak lahek poučiti uporaba divji ekološki pridelan medicinski goba dober koncentracija vitalnost prijava zbirati karmen plahtica teti številka kotizacija znašati celoten program sled kmalu,2019-09-21 09:30:00,226,164288653717494.0,27,Health
Potopisno predavanje Sejšeli,sejšeti skupina zelen otok indijski ocean zelo ohranjen raznolik narava nizek poseljenost obiskovalec idiličen peščen plaža potapljanje odličen kulinarika ponujati številen aktivnost kopen spoznavanje velik kopenski želva poreden palma coca dejati mera hoja razgleden pešpot nacionalen park obisk čudovit botaničen vrt kolesarjenje vstop prost,2019-11-20 19:00:00,108,717882301739945.0,5,Other
Swaguljčica #6,tschimy pow whit liti ris ljub špelunka avgustovski edicija nov klubski serialka čakati masten trapa hip hop beati nov produkcija podtalen mali bolj mainstremovski swaguljar palček noč izpolnjevati glasben želja pomota oćiti vstopnina vstop prost polnoč kasneje musica policy hip hoptrapa,2019-08-16 23:00:00,199,356008681090989.0,2,Music
Bogatajevi dnevi zaščite in reševanja 2019,vabiti oktober obiskati bogatajev dan zaščita reševanje postojen kjer predstaviti gasilski voziti reševalen čoln poln oprema opaziti takoj vstop ronda pgd postojen prigrizek napitek poskrbljen videti,2019-10-17 09:00:00,840,108156282546253.0,"4,5,16","Volunteering,Other,Kid Friendly"
Kako začeti vrtnariti na balkonu,začetek težek vrtnarjenje delavnica začet vrtnariti balkon predstavljen ideja rešitev lahek balkon pridelati zelenjava hkrati lahek lep okrasz tuf legendaren smučarski skakalec primož ulagati predstaviti gnojilo bio guan delavnica vodilo jerneja mazej nosilec dopolnilen dejavnost kmetija potekati ura prostor mesten velenje levi breg vzhod kardelj trg velenje lep povabljen,2019-09-25 17:00:00,880,994845997381292.0,42,Gardening
PESEM ZATE | dobrodelni koncert za pomoč družinam v stiski,letošnji zbran sredstvo namenjen pomoč družina stiska slovenija boj rak potisniti rob preživetje nastopiti priznan slovenski glasbenik dar švajger ota pestner marka vozelj slavko ivančić primož grašič mitje ferenca spremljevalen ansambel livingston program povezovati polo organizator povezati most polje program veriga dober človek iti edinstven humanitaren program nuditi celosten pomoč podpora družina slovenija znajti socialen stiska rob preživetje namen program družina aktiven reševati nastal situacija postaviti noga ponoven postati opolnomočiti posameznik aktiven prispevati življenje družba ravnati odgovoren veriga dober človek truditi preprečiti družina ponoven zdrsniti vrtinec revščina namen pomagati premagovanje birokratski ovira nuditi terapevtski družinski delavnica psihosocialen pomoč finančen opismenjevanje celosten pomoč zaobje finančen materialen pomoč lanski let pomagati več posameznik dolgoleten dober delo transparenten delovanje pridobiti zaupanje družina donator vstopnica prodaja mojekartes predprodaja projekt izvajati okvir program veriga dober človek,2019-11-05 20:00:00,164,679359145462450.0,2,Music
Relja Popović PURE Night Club,club pura predstavalj umetnik nov val zaznamovati glasben industrija zadnji desetletje šarmanten reljati rnba hip hop zvok čas eliten odred hitmaker popfolk zagotovo zvezda balkan rosen leto delovati večnost scena šarmanten pevec lahek pohvala igralski kariera obljubljati nepozaben večer čakati balkanski ekstaza svež ritem vabiti coby rast jati brat bub corell anastasija ražnatović senida nikolija sajsi mca stojen mca vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiški ljubljana slovenio informacija infa pureljubljanac,2019-11-08 22:00:00,1476,445713185468708.0,2,Music
Tradicionalna gasilska veselica,gasilec pgd svet leto letos prirejati tradicionalen gasilski veselica okvir anin teden vabiti letos zabavati ansambel muren potekati srečel lep nagrada vstopnina vljuden vabiti,2019-07-28 19:00:00,801,113146438701527.0,15,Party
"Treking Kilimanjaro, 5895 m (Izidor Furjan) // Potopis",predavanje treking kilimanjara streha afrika predati izidor furjati četrtek vetrinjski dvor večnamenski dvorana vetrinjski ulica maribor spomniti osnoven šolski učbenik geografija sneg afrika pobeliti kilimanjara narediti vtis zato slovenec priljubljen treking kilimanjara edinstven izkušnja posebej pravi afrika sam vzpon zgodba tabor tabor pol pol počasi počasi praviti domačin bolj sopihati vrh streha afrika kilimanjara osvojen potopisen predavanje predstavljen odprava kilimanjara povzpeti januar uspešen uspešen odprava januar firbec ljubitelj treking zanimiv potopis vabiti prispevek delovanje društvo član študent dijak ostal študent dijak plačan članarina vstop prost,2019-11-28 19:00:00,138,375992255880352.0,"1,16","Wellness,Kid Friendly"
Navkreber na Strmo Reber,september start dolina reka kolpa natančneje osilnica potekati rekreativen vzpon kolo strm reber poimenovan navkreber strm reber dogodek rezerviran dober telesen pripravljenost potekati medvedje črev dolg proga zaznamovati serpentina kot premagan višinski razlika povprečen naklon velik naklon visok prelaz strm reber pričakati veličasten razgled celoten osilniški dolina drzniti dan dogodek registracija potekati hotel kovač starta vzpon državen meja predviden čas vzpon mina prijava potekati portati prijavims prijavljen poravnati štartnina drzniti premagati serpentinski pot prejeti kolesarski dres pivo bunker craft pivovar matti startnina vključno vključno dan vzpon,2019-09-22 10:00:00,1077,1411458059108562.0,3,Sports
Mondialova avdicija 2019,poletje poln izjemen doživetje spomin trenutek nekje ostal zasidran celoten življenje ekipa mondial travel narediti maturantski doživetje narediti nepozaben mondialov maturantski doživetje nadgraditi vabiti pridružiti avdicija ekipa mondial travel mogoč tek maturantski doživetje pomisliti prihodnji postati del mondialov zgodba postati del mondialov sestavljanka več let truditi mlad pričarati lep teden mladost sedaj imeti priložnost poletje preživet evropski prestolnica lep plaža šir evropa skupaj slišati pravljičen napisan izvedeti čakati serija izobraževanje strokoven usposabljanje nabiranje deloven izkušnja svet turizem področje ekonomija marketing odnos javnost visok management zgodba doba dodaten razsežnost postati del mondialov družina spleten povezava izpolniti kratek obrazec kmalu prejeti vabilo razgovor mogoč odpreti vrata lep mladost prijaviti mogoč sreda avdicija mondialov ekipa potekati september več kraj slovenija ljubljana maribor koper nov gorica celj več termin lokacija razgovor posamezen kraj izvedeti kmalu stay tuned ekipa mondial travel,2019-09-13 10:00:00,200,112565770796.0,15,Party
"Bine Žalohar: Tisoč morja, tisoč gora – Japonska",bina žalohar znan slovenski freeriti smučar vodnik ljubitelj zima narava vsestranski športen navdušenec dan nesreča globok vdihniti pljuča zaboleti ustaviti odkašljati usta povleči pol zamrznjen maska opisati spomin jutro prihod niseka kjer miharašij utapljati vzhodnoazijski pršič japonski zanimiv dežela sneg bolj zima dolg oblačen nenavaden preživet mesec zahodnoazijski pršič izkušnja zapomniti življenje priseči priti vabiti japonski avantura binet število mesto omejen predstavitev brezplačen prijava muzej elans,2019-11-27 18:00:00,196,226278754795104.0,3,Sports
Glasbena komedija: Nune v akciji,producent muzikal mam mio briljantin jurje franka produkcijski hiša prospot radovljica slovenski odrski deska pripraviti velik svetoven hit glasben komediti nuna akcija nuna akcija original nunsens izjemen delo avtor dan goggin premieren uprizoriti december gledališče cherry lan najdlje izvajati predstava offbroadway zadnji let predstava postati pravi mednaroden fenomen preveden več jezik ogledati publika svet nuna akcija domiseln zgodba redovnica znajti denaren težava prisiljen pripraviti dobrodelen show zvezda niz nenavaden situacija redovnica pokazati povsem luč vajen soj reflektor petje ples smeh posebej skupaj zažareti čist samosvoj način slovenski različica nastopati vrhunski izvajalec gojmir lešnjak gojca simon vodopivec franka alenka godec marjati bunič leo barth pesek navduševati najbolj obiskan muzikalo slovenija čas mam mio glasben vodja instrumentalist predstava sodelovati miran juvati najti košček sam ekipa prepričati lahek svetnik,2019-11-15 20:00:00,128,551513748317486.0,64,Comedy
SKUNK ANANSIE + MRFY @ Kino Šiška,eng praznovanje obletnica rockerski nažiganje uspešen britanski zasedba skunka anansio vodstvo divji pevka skina končen vrniti ljubljana bend tek kariera osvojiti velik odreti svet poletje imeti priložnost izkusiti int katedrala fen garbaga hol guan apes več infa vstopnica razprodan predprodaja dan dogodek popust omejen število prijava kti newsletter prenesti kti app,2019-07-29 20:00:00,4750,154287574875.0,"2,6,56","Music,Concert,Alternative rock"
H&T2L • Promocija albuma 4K • 1.10. • Razprodano!,datum dan naslov znan vstopnica več oktober center slovanski kultura france prešeren nov skladba nov studijski album slišati klubski int csk france prešeren ljubljana lahek peti lep stvar pomlad takrat nov komad odigrati imeti leto postati pravi hit skupaj dolg dvorana lep drobčkan sexy hati tribut lov lubezenski zgodba najraje pripovedovati živ koncert oder izčistiti zvok album sreča improvizacija vrhunski kitarski tipkarski solaža pozitiven energija občinstvo pošiljati enormen odmerek današnji dan redek kombinacija vedno znova naraven zliti petje oder prepevanje vrsta publika najbolj pomemben član opaziti sleherni špilo pomlad lep stvar,2019-10-01 20:00:00,621,717882301739945.0,2,Music
Projekcija dokumentarnega filma - Mariborski KROG,mariborski predstavljati vrhunec slovenski sodoben fotografija modernističnoavantgarden fotografski skupina skupen nastop let središče zanimanje postaviti obrobnost urban vsakdan tehničen značilen prevladujoč temen skala neupoštevanje klasičen pravilo kompozicija neostrina obvezen črn rob kazati temnica več posegati negativ mojster fotografija branimir ritonj oblika video zapis zbrati spomin živeč akterjev,2019-09-30 18:00:00,135,354610311805115.0,36,Film
MARK ZEBRA • HIT: Fenomenalna • @Caffe bar Fur-či,marka zeber hit fenomenalen caff bar furčati sobota starta pripravljen nor zabava daleč sobota prvič oder prihajati marka zeber banda čakati hit fenomenalen marina visk itd fant obljubljati nor zabava ogrevanje privoščiti fenomenalen marina visk quiera party pijača hostesa potruditi praznovati rojsti dan teden prejeti takoč račun šeeeeeeeeeeeeeeeee vabiti noreti skupaj več infa kmalu,2019-09-07 22:00:00,342,440624549345671.0,15,Party
"RAZPRODANO || Stand up Ponikva: Bergant, Novak in Stare",obvestilo dogodek prestavljen kulturen dom ponikev telovadnica osnoven šola blaž kocen ponikev ura ostajati pravi karta naprodaja prodajen mesto mcaf ponikev rezervirati prevzeti lahek maiti mihaandrinek gmailc zevnikvid gmailc cena vstopnica predprodaja dan dogodek mdp mladinski društvo ponikev prirejati večer humor oder kulturen dom spoznati standup komik najbolj popularen trenuten slovenija prihajati zgornjesavinjčan šmarčan kranjčan gašper bergantti aleša novak saša star gašper bergant zgornjesavinjčan imeti pivo suh meso vonj seno star ženski pravi vrsten red podirati meja sprejemljiv pozen pomen beseda tabu ruša stereotip zadržanost slovenec publika presenečati črn humor navidezen neobzirnost dekle zapomniti strupen jezik prijeten videz fant povabiti pivo mnog projekt skečoholik trenuten nastop predstava brada skupaj pižama perica jerković aleša novak standa komik nov generacija oza val standa komedij izobrazba zafrkavati sam piš predstavitev oseba ednina potreben izobrazba kemijski inženir delati inštitut jožef stefan področje ukvarjati več sedaj lahek spremljati skiti oddaja skečoholik oddaja štartati slovenija standa oder šir slovenija enkrat nastopiti graz saša star improvizator komik načelo dober človek promet sod mlad generacija slovenski komik zdravnik pravi imeti metabolizem letnik videti lahek oddaja skečoholik stendapa predstavljati zvezda plesati slovenija imeti talent oddelek sladkarija bližnji trgovina,2019-10-12 20:00:00,1223,649390918799657.0,"64,142,143","Comedy,Stand-up comedy,Improv comedy"
Luka Šulić ● The Four Seasons ● Ljubljana ● 20.10. // sold out,izjemen zanimanje dodaten luk šulić cankarjev dom ljubljana nastopiti oktober začetek prodaja vstopnica prodajen mesto cankarjev dom event pozor število vstopnica omejen luk šulić foura seasons ljubljana dodaten koncert oktober član zasedba slovenski publika prvič nov umetniški projekt vivaldijev leten čas orkester luk šulić najbolj priljubljen priznan glasbenikov mednaroden prizorišče strast luk glasbenik zgodovina celota izvedeti vivaldijev leten čas sola junijski svetoven premiera trst luk šulić sobota nedelja spremljav komoren orkestra nastopiti gallusov dvorana cankarjev dom ljubljana ljubljanski koncert koncert svetoven turneja okvir luk nastopiti najprestižen svetoven oder produceda vign kod events,2019-10-20 20:00:00,619,111072325610775.0,"2,16","Music,Kid Friendly"
Dan D v Klubu Cankarjevega doma,dan svojevrsten posebnost slovenski rocka glasba status popularen domač bend pomislek žrtvovati svoboden izražanje raziskovanje različen glasben forma preizkušanje poslušalec izziv običajen območje udobje uspešen pot nanizati vrsta uspešnica čas voda plesati počasi podoben simfoničen orkester rtv slovenija let nastopiti dvakrat poln križanka akustičen projekt tih osvojiti slovenski grad podati popolnoma nov pot album dno številen glasben kritika razglasiti album let izvedeti uspešen antiturneja prostor vaja kjer član bend oči oči srečevati občinstvo intimen dogodek nastal album knjiga pohvala pritožba mil drag maj predstavljen ponoven poln križanka oktober razprodan november klub eura mlad star let upokojenec,2019-11-01 20:00:00,157,265166920191742.0,2,Music
Dan D v Klubu Cankarjevega doma,dan svojevrsten posebnost slovenski rocka glasba status popularen domač bend pomislek žrtvovati svoboden izražanje raziskovanje različen glasben forma preizkušanje poslušalec izziv običajen območje udobje uspešen pot nanizati vrsta uspešnica čas voda plesati počasi podoben simfoničen orkester rtv slovenija let nastopiti dvakrat poln križanka akustičen projekt tih osvojiti slovenski grad podati popolnoma nov pot album dno številen glasben kritika razglasiti album let izvedeti uspešen antiturneja prostor vaja kjer član bend oči oči srečevati občinstvo intimen dogodek nastal album knjiga pohvala pritožba mil drag maj predstavljen ponoven poln križanka oktober razprodan november klub eura mlad star let upokojenec,2019-10-31 20:00:00,420,265166920191742.0,2,Music
Brain Gym seminar,seminar braina zajem braina udeleženec spoznati braina delovati namen uporabljati spoznati avtor metoda možnost nadaljnji izobraževanje pedagoški kineziologija korak hiter pripravljenost paca štiriminuten ogrevanje pomagati umirjen sproščen pripravljen učenje nov izziv specifičen gibalen vaja enostaven gibalen vaja izboljšanje specifičen spretnost sposobnost branje pisanje računanji koncentracija spomin komunikacija organizacija motivacija motorika pozornost logičen mišljenje razvit spretnost pomagati dosegati uspeh športen glasben posloven študijski oza učen področje napredovati vsakodneven aktivnost dom šola služba uporaba spoznati braina uporabiti praksa otrok učenec klient predstavljen prilagoditev vaja različen ciljen skupina seminar izkustven naravnati individualen pristop potek majhen skupina braina metoda povezovati gibanje učenje učinkovit sistem temelj predpostavka motoričen učenje temelj učenje človekov gibanje močen povezan čustven miseln dogajanje možgani program olajševati učenje povezovati aktivirati možganski predel potreben optimalen učenje uporabljati človek starost izobraževalen namen premagovanje težava osebnosten razvoj poslovnež velik učinkovitost zbranost športnik glasbenik lahek doseganje željen rezultat učitelj starš terapevt izvabljanje spodbujanje potencial otrok vaja omogočati velik veselje lahkotnost učenje del lokacija obseg maribor trajati ura ura predavateljica jasen trapečar pavšič profdefektologija braina inštruktorica svetovalka licenca educationala kinesiology foundation večleten izkušnja specialnopedagoški obravnava otrok splošen učen razvojen težava svetovanje starš učitelj cena seminar namenjen zaposlen vzgoja izobraževanje starš fizioterapevt deloven terapevt psiholog psihiater psihoterapevt športnik glasbenik poslovnež zdravstven delavec zainteresiran vabiti prijava informacija zaseben specialnopedagoški svetovalnica jasen ketteti maribor jasnatrapecar gmailc teti prijava prijavnica udeleženec prejeti gradivo potrdilo udeležba braina najbolj uspešen metoda svet podpirati učenje,2019-09-14 09:00:00,159,151665194880761.0,5,Other
